                              Drapiezniki                Roslinozerne                Wszystkozerne
Po roku 184:               2424                             0                                0
Po roku 185:               2424                             0                                0
Po roku 186:               2424                             0                                0
Po roku 187:               2424                             0                                0
Po roku 188:               2424                             0                                0
Po roku 189:               2424                             0                                0
Po roku 190:               2424                             0                                0
Po roku 191:               2424                             0                                0
Po roku 192:               2424                             0                                0
Po roku 193:               2424                             0                                0
Po roku 194:               2424                             0                                0
Po roku 195:               2424                             0                                0
Po roku 196:               2424                             0                                0
Po roku 197:               2424                             0                                0
Po roku 198:               2424                             0                                0
Po roku 199:               2424                             0                                0
Po roku 200:               2424                             0                                0
Po roku 201:               2424                             0                                0
Po roku 202:               2424                             0                                0
Po roku 203:               2424                             0                                0
Po roku 204:               2424                             0                                0
Po roku 205:               2424                             0                                0
Po roku 206:               2424                             0                                0
Po roku 207:               2424                             0                                0
Po roku 208:               2424                             0                                0
Po roku 209:               2424                             0                                0
Po roku 210:               2424                             0                                0
Po roku 211:               2424                             0                                0
